gen,nevals,avg,std,min,max,time
0,100,0.35007341958782073,0.08588990798670128,0.3220338983050847,0.8484848484848484,1695
1,64,0.39798037453215146,0.1508022421114192,0.3220338983050847,0.9748585795097424,2892
2,70,0.4973100913717205,0.23047794041837996,0.3103448275862069,1.0,6356
3,62,0.6421940063465184,0.26862427616931756,0.3220338983050847,1.0,7067
4,56,0.7644140382700135,0.25282370610176874,0.3220338983050847,1.0,7722
5,69,0.794708216678911,0.25721289213938403,0.3220338983050847,1.0,8066
6,62,0.8183552170133106,0.24660877641380477,0.3220338983050847,1.0,8242
7,61,0.8890982621174303,0.1960558418159059,0.3220338983050847,1.0,8397
8,74,0.8292438760118109,0.23865655437321417,0.3220338983050847,1.0,8589
9,66,0.8544482889435701,0.22023030162953242,0.3220338983050847,1.0,8758
10,73,0.837205192834167,0.22869785026957862,0.3220338983050847,1.0,8962
11,67,0.8146358520917732,0.2630362151453411,0.3220338983050847,1.0,9142
12,62,0.7834857756928743,0.2845593249093828,0.3220338983050847,1.0,9318
13,63,0.8549951670519913,0.23879085218437937,0.3220338983050847,1.0,9480
14,69,0.8289435094462009,0.2540967082755507,0.3220338983050847,1.0,9658
15,62,0.8697754193830015,0.2147031004802677,0.3220338983050847,1.0,9826
16,76,0.8128945421783088,0.26366980393819694,0.3220338983050847,1.0,10022
17,69,0.8562448013030459,0.23516072654501802,0.3220338983050847,1.0,10224
18,69,0.866997142489336,0.22058199879516768,0.3220338983050847,1.0,10416
19,64,0.9163467547290152,0.16111708152788848,0.3220338983050847,1.0,10585
20,55,0.9132124110404963,0.1816791971691559,0.3220338983050847,1.0,10735
21,67,0.920044509980945,0.16166290872105712,0.3220338983050847,1.0,10918
22,72,0.8997686003185552,0.196254824539059,0.3220338983050847,1.0,11111
23,64,0.9317243756593505,0.15170389970351686,0.3220338983050847,1.0,11289
24,61,0.9379162145429221,0.15428988709705782,0.3220338983050847,1.0,11457
25,62,0.9219679532116598,0.16499494127853023,0.3220338983050847,1.0,11614
26,61,0.9400838091398838,0.13371629259984344,0.3220338983050847,1.0,11770
27,60,0.9598571425878412,0.11633721068327284,0.3220338983050847,1.0,11897
28,65,0.9487751132351079,0.136459092920884,0.3220338983050847,1.0,12048
29,60,0.947810843055224,0.1264530252677771,0.3220338983050847,1.0,12178
30,66,0.9413334618379114,0.12358469068190854,0.3220338983050847,1.0,12335
