gen,nevals,avg,std,min,max,time
0,100,0.3545646389793617,0.1203701078689227,0.3220338983050847,1.0,1017
1,59,0.38761007775896916,0.14704103457035964,0.3103448275862069,0.9748585795097424,1676
2,70,0.43502552186277116,0.19007798958148925,0.28571428571428575,1.0,2562
3,72,0.5284612523157804,0.23651065801765575,0.3220338983050847,1.0,3280
4,67,0.6685126286450834,0.2510197781648563,0.3220338983050847,1.0,3664
5,71,0.8008965185765808,0.21827863598417638,0.3220338983050847,1.0,3908
6,68,0.9089603065510545,0.13946645906446362,0.3220338983050847,1.0,4083
7,64,0.9161437823857034,0.13499368348665433,0.3220338983050847,1.0,4236
8,55,0.9066077919689457,0.1703730268933238,0.3220338983050847,1.0,4373
9,73,0.9192679533117146,0.13693664115486875,0.3220338983050847,1.0,4542
10,65,0.9559038012458436,0.05597386046148878,0.7678916827852998,1.0,4692
11,60,0.9544533270344995,0.08270061203811106,0.3220338983050847,1.0,4918
12,76,0.957012672029956,0.05808501393294316,0.6799999999999999,1.0,5100
13,58,0.9545020557673662,0.09249291953863537,0.3220338983050847,1.0,5237
14,57,0.9454999562268628,0.12249603063615419,0.3220338983050847,1.0,5366
15,69,0.9388804343904714,0.12843746242018833,0.3220338983050847,1.0,5514
16,58,0.9472714387735328,0.11537812573646054,0.3220338983050847,1.0,5652
17,60,0.9623187504293885,0.06596960371325429,0.6484110885733604,1.0,5800
18,67,0.966193464709225,0.05130247201722383,0.7395833333333334,1.0,5963
19,61,0.9404135999582462,0.12938520276207932,0.3220338983050847,1.0,6103
20,75,0.9544136050369703,0.06225170809435357,0.6799999999999999,1.0,6284
21,64,0.9445328317366425,0.11023707010172895,0.3220338983050847,1.0,6445
22,68,0.9634489958115356,0.07806429674381268,0.4,1.0,6601
23,65,0.9566519194654788,0.09458719714631918,0.3220338983050847,1.0,6764
24,61,0.9591742638355124,0.08761368625268418,0.3220338983050847,1.0,6919
25,67,0.9699896590966063,0.06153714394393235,0.5441595441595442,1.0,7065
26,69,0.9596272410529568,0.09258177642381539,0.3220338983050847,1.0,7215
27,69,0.9639390434018276,0.05306565344454173,0.7678916827852998,1.0,7370
28,68,0.9740358331505478,0.0489986168140295,0.6925227113906359,1.0,7515
29,75,0.9683667937329719,0.05396372344088902,0.7678916827852998,1.0,7667
30,67,0.9708356166926676,0.0734861837326067,0.34426229508196726,1.0,7810
