gen,nevals,avg,std,min,max,time
0,100,0.3494679001069919,0.0927878422994401,0.3103448275862069,0.8484848484848484,2162
1,59,0.39132587064996854,0.1522153627329413,0.3220338983050847,0.924953095684803,3745
2,61,0.44397030055646647,0.19405756109439082,0.3220338983050847,0.9749843652282677,4272
3,75,0.5164786841801182,0.23277399985865793,0.2697768762677485,0.9749843652282677,5420
4,66,0.7042381384104297,0.2243395643023114,0.3220338983050847,1.0,6148
5,67,0.8442856849786406,0.13884337806315977,0.3220338983050847,1.0,6967
6,58,0.9004789596961311,0.09521399302821441,0.44727272727272727,1.0,7470
7,64,0.9176472479583159,0.07344470529183332,0.5833333333333333,1.0,8379
8,62,0.9194915707626317,0.10489016843458715,0.3220338983050847,1.0,8829
9,71,0.9353551578315351,0.06584037400367593,0.6484110885733604,1.0,9333
10,63,0.9169228655018238,0.14915230600313853,0.3220338983050847,1.0,9549
11,69,0.9289139797056666,0.119600974252099,0.3220338983050847,1.0,9792
12,67,0.9336605091528695,0.10688403811792622,0.3220338983050847,1.0,10099
13,65,0.9412456418602038,0.10235400379215778,0.5054545454545455,1.0,10260
14,58,0.9163490408484108,0.1441288910977935,0.3220338983050847,1.0,10459
15,61,0.9236224813356716,0.13116582738154575,0.3220338983050847,1.0,10731
16,68,0.9296904142647061,0.10659451886263199,0.3220338983050847,1.0,10935
17,66,0.920606424213944,0.12153148519943313,0.48717948717948717,1.0,11082
18,61,0.948855907888114,0.09645147567798172,0.5054945054945055,1.0,11275
19,73,0.9435144270334906,0.08688490497783942,0.5441595441595442,1.0,11452
20,66,0.9437122599541281,0.11281856180307255,0.3220338983050847,1.0,11590
21,58,0.9489210168666702,0.11765785124551094,0.3220338983050847,1.0,11689
22,77,0.9417058531001381,0.09093175489630911,0.6153846153846154,1.0,12038
23,71,0.9337864675156936,0.12831613011061632,0.3220338983050847,1.0,12234
24,53,0.9452013256068902,0.11184347188672747,0.3220338983050847,1.0,12350
25,69,0.9497283522482332,0.09289723744678487,0.3220338983050847,1.0,12434
26,59,0.9496333650540417,0.08264868494687733,0.6799999999999999,1.0,12518
27,63,0.9672881513801446,0.06848489092627515,0.7395833333333334,1.0,12649
28,71,0.9438925133147785,0.1197825904010664,0.3103448275862069,1.0,12783
29,67,0.9479092760660112,0.10863820560923429,0.3220338983050847,1.0,12913
30,57,0.9540588998450242,0.10899148774441418,0.3220338983050847,1.0,13021
