gen,nevals,avg,std,min,max,time
0,100,0.3575138893967848,0.10067900442003283,0.3220338983050847,0.9245757385292269,3517
1,59,0.4132617851303179,0.1687882218468863,0.3103448275862069,0.9245757385292269,5609
2,58,0.4723446249796504,0.20163587691533708,0.3103448275862069,0.9249530956848029,7428
3,71,0.5288471838565375,0.22747535464739327,0.3103448275862069,0.9494949494949494,8552
4,69,0.6799300329183343,0.2245463805913009,0.3220338983050847,0.9749843652282677,8883
5,68,0.740620816432286,0.2236276970024539,0.3103448275862069,1.0,9173
6,70,0.8256901832137541,0.19161907749669158,0.3220338983050847,1.0,9490
7,61,0.8429378128455961,0.1813163514650559,0.3220338983050847,1.0,9682
8,59,0.8497132781922394,0.20275496482680047,0.3220338983050847,1.0,9851
9,69,0.863241240275614,0.18445222558941712,0.3220338983050847,1.0,10042
10,68,0.8963912159188311,0.1509726856245343,0.3220338983050847,1.0,10234
11,71,0.9051688271322098,0.14905215498391916,0.3220338983050847,1.0,10438
12,70,0.9270312236579161,0.0999218776296776,0.34426229508196726,1.0,10615
13,68,0.9022530433051265,0.14561871571847163,0.3220338983050847,1.0,10787
14,65,0.9115889460172426,0.12016023035485977,0.34426229508196726,1.0,10962
15,65,0.9246552676117504,0.08872599077621823,0.3220338983050847,1.0,11141
16,59,0.9397034078503627,0.0898611796213504,0.3220338983050847,1.0,11292
17,58,0.9515326006198215,0.05715298602704953,0.6484110885733604,1.0,11437
18,68,0.9284627101950694,0.11877574968180547,0.3220338983050847,1.0,11611
19,67,0.9416242246958043,0.08743408814487509,0.3220338983050847,1.0,11784
20,63,0.9216851612288053,0.1361193048638485,0.3220338983050847,1.0,11964
21,70,0.9231288169819123,0.09794332084140413,0.3220338983050847,1.0,12164
22,74,0.9104287006190109,0.13132473679404627,0.3220338983050847,1.0,12364
23,59,0.9469106460270587,0.07725963235204472,0.3220338983050847,1.0,12526
24,69,0.9432031702570601,0.07227766685545046,0.46428571428571425,1.0,12710
25,61,0.9333317096045559,0.09215072658978371,0.3220338983050847,1.0,12876
26,69,0.9344697763071074,0.07978216233049401,0.34426229508196726,1.0,13068
27,56,0.9315829063253039,0.10389875100088902,0.3220338983050847,1.0,13217
28,58,0.9253525336789826,0.11937242258968289,0.3220338983050847,1.0,13359
29,70,0.9273192993946243,0.11588184595383401,0.3220338983050847,1.0,13541
30,62,0.9360734647095923,0.11240611321254164,0.3220338983050847,1.0,13697
