gen,nevals,avg,std,min,max,time
0,100,0.37938444703172747,0.13902265372217842,0.3103448275862069,0.899749373433584,1681
1,71,0.43361987624345716,0.1941872957988404,0.3103448275862069,0.9249530956848029,2642
2,51,0.5683079484456094,0.24308842817535167,0.3220338983050847,0.9749843652282677,2913
3,61,0.697130610605524,0.23501282952242752,0.3220338983050847,1.0,3175
4,58,0.8450530974712432,0.1524895099709982,0.3220338983050847,1.0,3333
5,63,0.8886614283421973,0.1468735208431132,0.3220338983050847,1.0,3541
6,60,0.9432782878505668,0.0970539037999106,0.34426229508196726,1.0,3822
7,59,0.9770081121928176,0.048023774165506745,0.5807127882599581,1.0,4168
8,60,0.9605677119416608,0.09346256648150263,0.3220338983050847,1.0,4487
9,66,0.9574826650010749,0.11843205596092538,0.3220338983050847,1.0,4913
10,70,0.9476980067277121,0.13093166102384507,0.3220338983050847,1.0,5229
11,61,0.9810385949742512,0.07466669145298359,0.3220338983050847,1.0,5491
12,54,0.9737649632525067,0.09637353287546256,0.3220338983050847,1.0,5832
13,61,0.9770484567562525,0.07853365200618129,0.3220338983050847,1.0,6299
14,64,0.9701881311748919,0.08007253360486435,0.34426229508196726,1.0,6963
15,67,0.9767083328507336,0.06457285963003676,0.5833333333333333,1.0,7429
16,60,0.984692357773934,0.07299983356218538,0.3220338983050847,1.0,7743
17,52,0.9696328173036578,0.10639050714217553,0.3220338983050847,1.0,7948
18,48,0.9824351634086744,0.05777331971118814,0.6218181818181818,1.0,8141
19,57,0.9674673530183417,0.11903146680093633,0.3220338983050847,1.0,8365
20,71,0.9815469355820153,0.07714586547894636,0.3220338983050847,1.0,8709
21,63,0.9826636574260853,0.07676444813275508,0.3220338983050847,1.0,9061
22,64,0.9801036115300263,0.07649704452550117,0.3220338983050847,1.0,10996
23,61,0.9786310979852229,0.09848089644628483,0.3220338983050847,1.0,11326
24,58,0.9670507115007996,0.10581459438992648,0.3220338983050847,1.0,11820
25,54,0.9914342173048922,0.027480408806129623,0.8222222222222222,1.0,12169
26,49,0.9770513175494443,0.0925055982338319,0.3220338983050847,1.0,12600
27,72,0.9805871454061514,0.07697710619008365,0.3220338983050847,1.0,13007
28,59,0.9805597571966835,0.07667728416081249,0.3220338983050847,1.0,13337
29,62,0.991467490651313,0.02537516194636318,0.8248905565978737,1.0,13778
30,50,0.9857605379931833,0.04712055612642929,0.7395833333333334,1.0,14026
