gen,nevals,avg,std,min,max,time
0,100,0.3665601140960071,0.13019461854884237,0.2727272727272727,0.9238095238095239,1492
1,77,0.40635243513806657,0.15333527025792454,0.3220338983050847,0.9238095238095239,2620
2,69,0.5074179114682316,0.22636951351525436,0.3103448275862069,1.0,3111
3,70,0.6071760200480913,0.2500536012636347,0.3103448275862069,1.0,3463
4,54,0.735506351354174,0.24380897891311923,0.3220338983050847,1.0,3681
5,55,0.8573844937146299,0.18961960734545627,0.3220338983050847,1.0,3806
6,53,0.918132668634823,0.14739408532802362,0.3220338983050847,1.0,3910
7,67,0.9241549463731209,0.14639364338021923,0.3220338983050847,1.0,4027
8,59,0.9133721151990928,0.18460924325579792,0.3220338983050847,1.0,4117
9,63,0.9299716400475733,0.1530186725534294,0.3220338983050847,1.0,4225
10,61,0.9422949425640479,0.1365321151176172,0.3220338983050847,1.0,4319
11,62,0.9230122330008195,0.16375219705750235,0.3220338983050847,1.0,4412
12,54,0.9469361386023566,0.1309826278811078,0.3220338983050847,1.0,4492
13,57,0.9608129134822454,0.11295001679915848,0.3220338983050847,1.0,4569
14,63,0.9801039187063129,0.05709760680770344,0.5833333333333333,1.0,4648
15,66,0.9464334137884258,0.12966287977413385,0.3220338983050847,1.0,4750
16,66,0.945750652649927,0.13457842145246174,0.3220338983050847,1.0,4871
17,64,0.9745205986010632,0.08592270916597097,0.3220338983050847,1.0,4970
18,55,0.9822215708962474,0.07514639472791283,0.3220338983050847,1.0,5048
19,54,0.9788629495062198,0.09434598641929295,0.3220338983050847,1.0,5149
20,63,0.9583265883274251,0.13583763112583647,0.3220338983050847,1.0,5264
21,63,0.9793961643469099,0.09450246070319372,0.3220338983050847,1.0,5364
22,57,0.9751531451097436,0.1156393992653339,0.3220338983050847,1.0,5460
23,49,0.9808629738170228,0.07903505003656197,0.3220338983050847,1.0,5553
24,57,0.9826279890231003,0.07441449063872072,0.3220338983050847,1.0,5656
25,67,0.9578065260545722,0.14784240694966608,0.3220338983050847,1.0,5784
26,65,0.985026037773328,0.07200137197720091,0.3220338983050847,1.0,5909
27,75,0.9645448661358981,0.1331917705043288,0.3220338983050847,1.0,6062
28,73,0.9713512961367894,0.11574712218909468,0.3220338983050847,1.0,6189
29,52,0.9733919734662839,0.11544036064565004,0.3220338983050847,1.0,6274
30,59,0.9814585466730752,0.09012528247108319,0.3220338983050847,1.0,6364
