gen,nevals,avg,std,min,max,time
0,100,0.22056339434883485,0.0868749964601067,0.09929078014184396,0.6244472560897681,3285
1,63,0.27566538914484,0.1499039021993856,0.09929078014184396,0.6750617803249382,4116
2,72,0.3640106594311904,0.1772630993718774,0.18618618618618618,0.6914877258770952,6382
3,51,0.49692822125471797,0.15646223995089284,0.18618618618618618,0.6914877258770952,6680
4,65,0.5556001607578126,0.1258442467793565,0.1904761904761905,0.6914877258770952,6858
5,65,0.5866732290515168,0.08547107285253168,0.19883040935672514,0.6921296296296297,7082
6,70,0.5889697272686303,0.1001159771977115,0.19883040935672514,0.6957757473804577,7378
7,67,0.5842513242856147,0.11005551756135605,0.09318996415770608,0.6971928311607903,7520
8,64,0.608214103388646,0.0779128880941424,0.1904761904761905,0.6988304093567251,7665
9,49,0.6180263604870527,0.09818261975644421,0.19883040935672514,0.6971928311607903,7822
10,64,0.6234844679498946,0.08704299010366066,0.1904761904761905,0.6971928311607903,8167
11,71,0.5887697413970947,0.11477382747137573,0.19047619047619044,0.7005503039985799,8484
12,67,0.6332326826916357,0.06989258124893084,0.2857142857142857,0.7216607981220657,8726
13,52,0.6503477087099081,0.07374672949002678,0.20058997050147495,0.7216607981220657,8865
14,64,0.6434448541081785,0.058038535023325476,0.4754531490015361,0.7216607981220657,9022
15,63,0.6360703188338976,0.09296154347914036,0.19883040935672514,0.7216607981220657,9171
16,58,0.6412551092016288,0.06476700759990646,0.38000449842555106,0.7216607981220657,9532
17,73,0.6336158907931618,0.07952797949798478,0.24503441494591938,0.7216607981220657,9645
18,63,0.6548685334465401,0.058134204826967774,0.45584045584045585,0.7216607981220657,9734
19,60,0.6420291555009118,0.06987461760812366,0.35685941043083896,0.7216607981220657,9879
20,61,0.6434459084852867,0.0865850399224848,0.19883040935672514,0.7216607981220657,9986
21,64,0.6445169917562373,0.07718838985609071,0.34729649435531784,0.7216607981220657,10092
22,57,0.6650987157799009,0.07887930194848315,0.19469026548672563,0.7244734432234433,10164
23,73,0.662143116114211,0.08251603499446612,0.1904761904761905,0.7244734432234433,10239
24,66,0.6697040657643359,0.07677634313887936,0.19883040935672514,0.7244734432234433,10311
25,69,0.6779148616690559,0.051599993287847465,0.5331336238198984,0.7244734432234433,10379
26,65,0.6822255804771082,0.051042795396319174,0.48251850863736406,0.7244734432234433,10445
27,63,0.6803617489169378,0.051778879863145374,0.5402777777777779,0.7244734432234433,10507
28,65,0.6712771331884434,0.07012756523303136,0.3478373478373478,0.7244734432234433,10572
29,65,0.6723752702658384,0.06466504532113056,0.4587813620071685,0.7244734432234433,10634
30,57,0.6804501193748012,0.06424911875724634,0.3851764242065839,0.761183970856102,10699
