gen,nevals,avg,std,min,max,time
0,100,0.3736286944833337,0.13820294809670858,0.3103448275862069,1.0,2663
1,52,0.46113702711833293,0.21578543716464596,0.29824561403508776,1.0,3976
2,58,0.5854820514967853,0.2521314044699797,0.3220338983050847,1.0,5881
3,52,0.755610019049726,0.23766526498918705,0.3220338983050847,1.0,6975
4,55,0.8975128183304413,0.18791675668420318,0.3220338983050847,1.0,7130
5,62,0.9221413968610241,0.17150941519811883,0.3220338983050847,1.0,7237
6,70,0.9568797397904076,0.12355931090496558,0.3220338983050847,1.0,7315
7,51,0.9655336918179712,0.1200403850667299,0.3220338983050847,1.0,7370
8,63,0.9890592323842284,0.03906386438829084,0.7678916827852998,1.0,7425
9,52,0.9863907260040088,0.06332488266326203,0.42028985507246375,1.0,7477
10,54,0.9748731668785018,0.09980863116191276,0.3220338983050847,1.0,7527
11,48,0.9816062282522896,0.09456980996308971,0.3220338983050847,1.0,7562
12,59,0.9918839193047901,0.028703392535500385,0.7678916827852998,1.0,7621
13,51,0.9910528481787699,0.03814341011546075,0.6581196581196581,1.0,7672
14,57,0.9890922303759059,0.04473393189515375,0.6484110885733604,1.0,7730
15,53,0.9936406967101777,0.02724745309961579,0.7678916827852998,1.0,7797
16,39,0.9884350211376082,0.07101425301756273,0.3220338983050847,1.0,7840
17,54,0.993939400994943,0.023478497748559615,0.8484848484848484,1.0,7893
18,53,0.9832535639241456,0.07802587724704745,0.3220338983050847,1.0,7950
19,46,0.9972261109799396,0.01124566576907382,0.9238095238095239,1.0,7994
20,60,0.9858202762802024,0.06024102644817923,0.5807127882599581,1.0,8061
21,63,0.9946902530358807,0.017351248809226307,0.8976982097186701,1.0,8132
22,50,0.9956972153140015,0.0233361716597683,0.7953964194373402,1.0,8172
23,54,0.9931251758169336,0.028722049144560387,0.8156682027649769,1.0,8221
24,48,0.9979971810389011,0.011576106303041062,0.899749373433584,1.0,8258
25,64,0.9926810583097858,0.027380913657426603,0.7953964194373402,1.0,8329
26,55,0.9961661457706197,0.019394475673469417,0.8437500000000001,1.0,8388
27,62,0.9879856962071767,0.047125548864856856,0.7103357472021066,1.0,8461
28,68,0.992720879307693,0.022526390267286672,0.8742928975487114,1.0,8533
29,57,0.9964706998867071,0.014333212668695939,0.8976982097186701,1.0,8600
30,63,0.9921850367786142,0.0261645673447786,0.871050934880722,1.0,8662
