gen,nevals,avg,std,min,max,time
0,100,0.37805737671068856,0.14048303924247058,0.3103448275862069,0.924953095684803,2368
1,62,0.4359670448988478,0.19142624390615695,0.30118798043326345,0.9748585795097424,3505
2,51,0.5681729951922576,0.22909860912333652,0.3103448275862069,1.0,3938
3,52,0.6532868715414343,0.23439324778148288,0.3220338983050847,1.0,4276
4,52,0.7699577859760239,0.20214438529345002,0.3220338983050847,1.0,4645
5,47,0.8447781349781526,0.20947668244935527,0.3220338983050847,1.0,4897
6,50,0.8752599036719793,0.1920797364302155,0.3220338983050847,1.0,5045
7,71,0.8793314786454411,0.19964891740017351,0.3220338983050847,1.0,5135
8,55,0.957831626408379,0.11859674732908536,0.3220338983050847,1.0,5157
9,50,0.974748748527544,0.09121657836092685,0.3220338983050847,1.0,5177
10,58,0.9824752716811992,0.04808162774677287,0.7678916827852998,1.0,5204
11,62,0.9690378688534395,0.12015109246185146,0.3220338983050847,1.0,5226
12,61,0.989750930864094,0.049639548495793905,0.6153846153846154,1.0,5236
13,54,0.9876342505114049,0.0725186948648401,0.3220338983050847,1.0,5246
14,68,0.9881365279667808,0.07212965747895334,0.3220338983050847,1.0,5260
15,50,0.984866804135949,0.07430436038872859,0.3220338983050847,1.0,5281
16,47,0.9811016195933513,0.09831900752109428,0.3220338983050847,1.0,5293
17,55,0.9922712828047944,0.03978578867872056,0.7103357472021066,1.0,5302
18,52,0.9908813799015758,0.055403799515297905,0.46428571428571425,1.0,5313
19,57,0.9868158367990898,0.07378899107862573,0.3220338983050847,1.0,5326
20,60,0.9787196665113307,0.08046690745370928,0.3220338983050847,1.0,5345
21,60,0.982129052486399,0.08143405696036853,0.3220338983050847,1.0,5358
22,60,0.9824935476915955,0.0744940682166022,0.45117029862792574,1.0,5375
23,60,0.982628671888114,0.08359193465313769,0.3220338983050847,1.0,5386
24,61,0.9771085275656817,0.08578482905326133,0.3220338983050847,1.0,5407
25,54,0.9743831375898777,0.1167081497587344,0.3220338983050847,1.0,5416
26,39,0.9883294146524542,0.07249941299556983,0.3220338983050847,1.0,5426
27,52,0.986310482864747,0.07398867743156866,0.3220338983050847,1.0,5436
28,60,0.9863046994531754,0.07605274608162825,0.34426229508196726,1.0,5446
29,60,0.9750820977623903,0.1035904904534491,0.3220338983050847,1.0,5465
30,65,0.9612555641900147,0.1478863296805846,0.3220338983050847,1.0,5480
