gen,nevals,avg,std,min,max,time
0,100,0.37396737873247793,0.1283938549098635,0.3220338983050847,0.8749218261413383,1843
1,43,0.42587065829574655,0.18515526184206635,0.3103448275862069,0.9500000000000001,2318
2,49,0.568286529209979,0.2419749289175773,0.28571428571428575,0.9749843652282677,2781
3,60,0.7341352670139453,0.20190027995265394,0.3220338983050847,0.9749843652282677,3287
4,56,0.8591108798008541,0.10274158836774654,0.3220338983050847,1.0,3498
5,60,0.8625642858307146,0.1685738937600883,0.3220338983050847,1.0,3993
6,50,0.9328033442570384,0.1119984344705401,0.3220338983050847,1.0,4130
7,52,0.9333623880092549,0.11980396249890055,0.3220338983050847,1.0,4336
8,55,0.9306981658607762,0.15176116211174526,0.3220338983050847,1.0,4594
9,55,0.9604448535584992,0.08266717277253283,0.3220338983050847,1.0,4703
10,54,0.9618559398891753,0.06861265746606489,0.5423340961098397,1.0,4834
11,68,0.9620011239506769,0.08899117688620829,0.3220338983050847,1.0,4972
12,65,0.9677906520486045,0.09432683275942236,0.34426229508196726,1.0,5581
13,50,0.9677394278876111,0.08211691711649546,0.45117029862792574,1.0,6015
14,56,0.963441740996323,0.1061046870434571,0.3220338983050847,1.0,6442
15,54,0.9743444187237137,0.05834840068163702,0.6484110885733604,1.0,6944
16,45,0.979405931982367,0.06697955180558646,0.5833333333333333,1.0,7308
17,49,0.9857377698709682,0.04108286634931795,0.7395833333333334,1.0,7899
18,56,0.9790997864219105,0.06607715354414381,0.42028985507246375,1.0,8593
19,54,0.9818586656980319,0.07626958659667225,0.3220338983050847,1.0,8871
20,49,0.981973626332096,0.049587757846167514,0.6925227113906359,1.0,9194
21,55,0.984861794909831,0.033485628629790244,0.8222222222222222,1.0,9811
22,57,0.9817792334646,0.045401472916420584,0.7678916827852998,1.0,10397
23,63,0.9902423271842175,0.02090420925526978,0.899749373433584,1.0,10973
24,51,0.982450372182711,0.0423773015389575,0.6484110885733604,1.0,11446
25,54,0.9809341117434485,0.05814429774755466,0.5054545454545455,1.0,11715
26,54,0.9722755318102222,0.09070690725719469,0.3220338983050847,1.0,12119
27,41,0.9894502758291754,0.028765578683730617,0.8222222222222222,1.0,12258
28,48,0.9886191080947415,0.03501767427412827,0.7442455242966752,1.0,12710
29,64,0.979181325400426,0.06064588395291719,0.5054545454545455,1.0,13232
30,46,0.9944962405793376,0.013507174349915552,0.9249530956848029,1.0,13415
