gen,nevals,avg,std,min,max,time
0,100,0.355027051827687,0.10000876729486909,0.3103448275862069,0.7994987468671679,3893
1,52,0.4030160700060466,0.15720280091724126,0.3220338983050847,0.9748585795097424,5940
2,51,0.4691108377675176,0.2045994485341324,0.3220338983050847,0.9748585795097424,7841
3,51,0.5804974705971726,0.2352121935604034,0.3103448275862069,0.9748585795097424,9740
4,50,0.6750707189057193,0.23238865683119464,0.3220338983050847,0.9748585795097424,12345
5,63,0.7568435928400509,0.22243946599925044,0.3220338983050847,1.0,15153
6,54,0.8194157242839176,0.21359687339878963,0.3220338983050847,1.0,17312
7,66,0.8219065495877317,0.2195190939279041,0.3220338983050847,1.0,19968
8,53,0.8674773153672645,0.22256378570356986,0.3220338983050847,1.0,21938
9,64,0.8666329992336024,0.2217607366800457,0.3220338983050847,1.0,24507
10,67,0.8935379967807328,0.20250976499717058,0.3220338983050847,1.0,26367
11,55,0.9162863105838222,0.17624580903855955,0.3220338983050847,1.0,27829
12,63,0.9365997720029298,0.15514204326532638,0.3220338983050847,1.0,29293
13,53,0.9245994473523197,0.17612499341679752,0.3220338983050847,1.0,30612
14,53,0.9370762003628549,0.16600045799656107,0.3220338983050847,1.0,32288
15,51,0.9122224366797542,0.19536923977685072,0.3220338983050847,1.0,34090
16,61,0.9137699444939642,0.19218559478997257,0.3220338983050847,1.0,36392
17,54,0.9552795113610735,0.14046906645507393,0.3220338983050847,1.0,37753
18,52,0.9586509972664748,0.1416798138937969,0.3220338983050847,1.0,38825
19,52,0.991435066180105,0.06616321309993399,0.34426229508196726,1.0,39386
20,43,0.9679319101774929,0.1122165313647906,0.3220338983050847,1.0,41266
21,57,0.9783500653364876,0.11328869057545485,0.3220338983050847,1.0,42161
22,44,0.9754957781389862,0.10343684797640194,0.3220338983050847,1.0,43337
23,60,0.9758826945934784,0.11786965105488899,0.2727272727272727,1.0,44550
24,58,0.9907118584779886,0.06873512074446222,0.3220338983050847,1.0,45261
25,57,0.9881178712811114,0.07075345069374353,0.34426229508196726,1.0,45940
26,65,0.9810754337091477,0.08763099281563638,0.3220338983050848,1.0,47101
27,42,0.9994996873045653,0.0035021888680425214,0.9749843652282677,1.0,47511
28,57,0.9775097893234305,0.1104642543728853,0.3220338983050847,1.0,48413
29,55,0.9898762379080907,0.07167488446959973,0.3220338983050847,1.0,48961
30,50,0.9841506042138058,0.07955650950231828,0.38618925831202044,1.0,50169
