gen,nevals,avg,std,min,max,time
0,100,0.20662221510938258,0.065282947483387,0.09929078014184396,0.5572877580014065,2654
1,70,0.2125912576083042,0.06124351989227266,0.09929078014184396,0.5711759504862953,5316
2,61,0.2576290822345004,0.10203732338526064,0.09929078014184396,0.590743746993747,6485
3,58,0.3043226828731829,0.1288015220606253,0.09929078014184396,0.6453683302998372,8407
4,67,0.4225261144190246,0.12526597645601334,0.1904761904761905,0.6453683302998372,8875
5,71,0.4700392133206043,0.11596563564136697,0.1904761904761905,0.6453683302998372,9756
6,65,0.5052728663555385,0.10742394987986292,0.1904761904761905,0.6483714483714483,10965
7,53,0.5519564167750854,0.07933916192475084,0.19642857142857142,0.7013888888888888,11733
8,65,0.5620944684262316,0.09488117473760392,0.19883040935672514,0.6811081905797759,12725
9,63,0.5707351624869371,0.09221122762284602,0.17737003058103976,0.6811081905797759,13361
10,69,0.5733795654920847,0.09701824803579447,0.1818181818181818,0.6811081905797759,13534
11,58,0.6093003459403828,0.07898733280072363,0.1904761904761905,0.6974463047522409,14022
12,59,0.6238147659608446,0.049478361264082414,0.4771842413351847,0.6974463047522409,14361
13,62,0.6261088183304377,0.050527575643054,0.40814823582014964,0.6913668320926386,14496
14,61,0.6282354169770479,0.04796354734740976,0.5085868830290737,0.6811081905797759,14627
15,68,0.6342765675802987,0.058607220468785005,0.2820134448270208,0.6811081905797759,14736
16,66,0.6347432980321838,0.05555184136792185,0.4112769485903815,0.684940377477691,14842
17,50,0.6459021559723134,0.049585846202554906,0.5047281323877069,0.687526607066837,14920
18,59,0.6552251630031232,0.04464665546111653,0.5187100893997445,0.687526607066837,14994
19,60,0.6559446459999113,0.04250661795248745,0.529657477025898,0.687526607066837,15068
20,52,0.6570875188030348,0.04756881540076947,0.44031941411333914,0.7101751505199783,15127
21,56,0.6525992650409341,0.05262138828973023,0.4227237226127348,0.7101751505199783,15194
22,64,0.653041013079466,0.05208876476898752,0.4192485754985755,0.7101751505199783,15259
23,64,0.639300100787537,0.05425334525207066,0.4580234769493082,0.687526607066837,15353
24,46,0.6499193916003599,0.044801074932190744,0.52877331002331,0.6932055207917277,15415
25,63,0.6439100429419922,0.05334740841681901,0.47237291541089005,0.6932055207917277,15520
26,51,0.6488364188633922,0.057108010421055996,0.46679956505980424,0.6932055207917277,15590
27,53,0.6670180221070083,0.04474449463854864,0.49415204678362573,0.7126246452654327,15642
28,51,0.6774394880946137,0.03348848981065707,0.5602853442602068,0.7126246452654327,15691
29,62,0.6743044778961247,0.037816807605463534,0.5504232804232805,0.7126246452654327,15755
30,58,0.6668514484805665,0.0489253250721932,0.5028142589118199,0.7126246452654327,15818
