gen,nevals,avg,std,min,max,time
0,100,0.21022166705973727,0.05584059997945955,0.1904761904761905,0.6343607010273677,2215
1,52,0.2339997138449879,0.1008743171094438,0.09929078014184396,0.638550135501355,2737
2,62,0.2869138570692844,0.14381632492308732,0.1904761904761905,0.6722925457102673,3667
3,56,0.37721214819792726,0.1680663977050792,0.09929078014184396,0.6927521008403361,4553
4,63,0.49684654447284693,0.15544335567491724,0.18618618618618618,0.6927521008403361,4721
5,57,0.6013109566684386,0.08681656949755728,0.19642857142857142,0.6927521008403361,4834
6,51,0.6306029754083123,0.0543164256126539,0.4318753142282554,0.6927521008403361,4942
7,51,0.6294247172685816,0.06284803378673787,0.4386886886886887,0.6927521008403361,5057
8,51,0.6328051954671973,0.07656882449707274,0.33468389023944584,0.6927521008403361,5191
9,67,0.6396481777953482,0.08538961380625376,0.19883040935672514,0.6927521008403361,5304
10,57,0.6478660973133394,0.07400023377650172,0.20058997050147495,0.6927521008403361,5408
11,53,0.6622377423947918,0.06975362334482763,0.19883040935672514,0.6927521008403361,5489
12,57,0.672360973887701,0.04272579794193296,0.5082101806239737,0.6927521008403361,5567
13,62,0.682961390906058,0.031580764699051404,0.49604313814840134,0.6927521008403361,5611
14,66,0.6749292199906272,0.03909910937952216,0.538265306122449,0.7025740860912827,5697
15,46,0.6793128627648696,0.03858196774306246,0.49205243072838895,0.7025740860912827,5739
16,55,0.6758098663942804,0.04669929024616689,0.44122383252818037,0.7025740860912827,5806
17,52,0.676626019021834,0.04466916056162514,0.43475783475783475,0.7025740860912827,5869
18,54,0.6686315776747278,0.051593222168032256,0.43909774436090226,0.7025740860912827,5962
19,71,0.6601000110375979,0.06243405295561174,0.3839859335903158,0.7051917989417991,6065
20,60,0.6689159660228425,0.05687680823529152,0.45632868089764633,0.7240719479525449,6161
21,57,0.6698289246740114,0.062105193172939964,0.3091743809738842,0.7240719479525449,6246
22,71,0.6644646870377734,0.05704452025945432,0.5111801242236025,0.7240719479525449,6345
23,56,0.6624611563314206,0.057978361264252036,0.517450937675871,0.7240719479525449,6452
24,70,0.6572844163052882,0.05861998546090242,0.5129411764705882,0.7240719479525449,6558
25,59,0.6458271100981625,0.07851204794405944,0.2800231424084635,0.7240719479525449,6672
26,48,0.6638884175748473,0.060921591024302606,0.43916110525699564,0.7240719479525449,6745
27,48,0.676248284161807,0.05359651965735343,0.5013350559862187,0.7240719479525449,6811
28,60,0.6678740920594817,0.05495523046959559,0.5244382327399045,0.7240719479525449,6873
29,49,0.6673582619146882,0.06351733368126203,0.3707482993197279,0.7240719479525449,6942
30,55,0.6802620917037419,0.05301647234474033,0.5226252898163011,0.7240719479525449,7012
