gen,nevals,avg,std,min,max,time
0,100,0.2045104276263724,0.050884067453831096,0.09929078014184396,0.5552010343677011,3327
1,54,0.22089973682098463,0.066321735471824,0.1904761904761905,0.5775064620799648,5275
2,61,0.2652400440753179,0.11648759663406194,0.09929078014184396,0.63216011042098,6278
3,58,0.3251463110858619,0.1298815287410291,0.1904761904761905,0.63216011042098,6768
4,57,0.4372853469650667,0.13199869112642673,0.18618618618618618,0.6552089697995164,7019
5,56,0.48987947058547127,0.12730172650631857,0.19883040935672514,0.6609317650984318,7140
6,61,0.5518520603756749,0.11284239901448864,0.19883040935672514,0.6855290303566166,7655
7,61,0.5490415605476366,0.11362236942181167,0.1904761904761905,0.6855290303566166,7801
8,59,0.5661265742587019,0.11123200379205749,0.19883040935672514,0.6900730266794682,7904
9,66,0.5899377349368209,0.09977366563228385,0.19883040935672514,0.7035460002792128,8021
10,56,0.5986695379732765,0.09809662335067863,0.19682539682539682,0.7035460002792128,8116
11,55,0.6105626175749049,0.10074855004457843,0.19883040935672514,0.7035460002792128,8281
12,50,0.6376495381204035,0.08602416685585482,0.19883040935672514,0.7035460002792128,8354
13,72,0.6145791438559178,0.12649574949895398,0.19883040935672514,0.7035460002792128,8571
14,60,0.6374990348154287,0.08481103485847405,0.19883040935672514,0.7035460002792128,8653
15,59,0.6317538903776371,0.12539173718274693,0.1904761904761905,0.7035460002792128,8726
16,48,0.6460798835476687,0.11112490849091254,0.19883040935672514,0.7035460002792128,8791
17,62,0.6801378119318621,0.05797590562033029,0.38997493734335836,0.7035460002792128,8835
18,52,0.6829112852191966,0.07440097305360434,0.19883040935672514,0.7035460002792128,8860
19,64,0.6661190742109178,0.10166524861458369,0.19469026548672563,0.7035460002792128,8902
20,67,0.6613896871539964,0.10436574630696968,0.19883040935672514,0.7035460002792128,8954
21,57,0.6792564015244673,0.08168096661085916,0.19883040935672514,0.7035460002792128,8989
22,59,0.6762683317056072,0.08304726735168814,0.19883040935672514,0.7035460002792128,9019
23,58,0.6625131796220848,0.11969423947414212,0.1904761904761905,0.7035460002792128,9051
24,46,0.6701338395443369,0.09051070760890495,0.19883040935672514,0.7035460002792128,9098
25,62,0.6769076942285841,0.06459852724934786,0.4219887955182073,0.7035460002792128,9135
26,65,0.6746371409886113,0.08475066490736183,0.19883040935672514,0.7035460002792128,9174
27,57,0.682985680941283,0.060320031858888304,0.34314778995630063,0.7035460002792128,9208
28,53,0.663663416141508,0.11019128580533205,0.19883040935672514,0.7035460002792128,9254
29,59,0.6486639120361352,0.12465627957904837,0.1904761904761905,0.7035460002792128,9311
30,58,0.6661200319392634,0.09919527965113477,0.19883040935672514,0.7035460002792128,9357
