gen,nevals,avg,std,min,max,time
0,100,0.21812708146135698,0.06732610342823087,0.09929078014184396,0.522360248447205,1826
1,61,0.2372427843326414,0.08817459653111945,0.09929078014184396,0.5877192982456142,2643
2,67,0.2758159129325294,0.12345044055948108,0.14243505142381546,0.594986086265156,3274
3,49,0.35585500938232095,0.1589276253477681,0.1904761904761905,0.6673721340388007,3743
4,56,0.44689173187231096,0.15610666713346522,0.1904761904761905,0.6673721340388007,4395
5,65,0.5331948479099159,0.11827592438266346,0.1904761904761905,0.6715858172608611,5581
6,51,0.5784672437867228,0.07703950610143796,0.20238095238095236,0.6935725685544325,7050
7,58,0.5934247294711387,0.07411902902705113,0.31912363067292643,0.6935725685544325,7957
8,53,0.5987579936907788,0.10441277188165682,0.19883040935672514,0.6935725685544325,10144
9,51,0.6351771086478564,0.056215747759912824,0.40392971849612697,0.6935725685544325,11728
10,57,0.6261422479919339,0.09171757034812425,0.15661815661815662,0.6947740704546512,13695
11,54,0.6237653768396287,0.09229894431834738,0.19883040935672514,0.6947740704546512,14982
12,53,0.6202071860811765,0.10631111685779164,0.15661815661815662,0.6935725685544325,16855
13,53,0.6379628320155212,0.10739149088470709,0.19883040935672514,0.7103785103785104,17596
14,60,0.6467359352718864,0.08863295519642589,0.19883040935672514,0.7029306346194392,17814
15,47,0.6769169281125654,0.04544694134743031,0.4485930735930735,0.7029306346194392,17899
16,45,0.6713410702820284,0.08798629017055824,0.19883040935672514,0.7029306346194392,17910
17,52,0.6748345737933431,0.04546872249718873,0.5124229775392566,0.7029306346194392,17930
18,51,0.6750674566251239,0.04683863865435712,0.47279394849727324,0.7029306346194392,17959
19,43,0.663664353488601,0.061551148089831594,0.4537112010796221,0.7029306346194392,17985
20,63,0.6641754934372353,0.07037066360672575,0.22663948352021746,0.7029306346194392,18011
21,47,0.6823753949159932,0.0439534430225079,0.5134287785429503,0.7029306346194392,18017
22,66,0.6859414492971649,0.04681036933264197,0.44473173884938594,0.7029306346194392,18046
23,57,0.6932208943973159,0.032551295706642634,0.5236788250872758,0.7029306346194392,18067
24,55,0.6950496866075474,0.031558554386520596,0.5086686889113583,0.7029306346194392,18090
25,58,0.6906063516449749,0.03673223464244168,0.4894450335807707,0.7029306346194392,18119
26,58,0.6969232760578896,0.027975721504451902,0.5067161541180629,0.7029306346194392,18135
27,53,0.6864763305353933,0.04968818016766362,0.46141451093110347,0.7029306346194392,18162
28,48,0.6981848073908585,0.02424534442859307,0.5588115588115589,0.7029306346194392,18178
29,68,0.6909484025010988,0.03867313529288106,0.4781513091406107,0.7029306346194392,18201
30,56,0.6940330532968537,0.03608590603755007,0.4531857031857032,0.7029306346194392,18218
