gen,nevals,avg,std,min,max,time
0,100,0.20683410692987755,0.0663332486608887,0.09929078014184396,0.6079963177341455,3840
1,49,0.23663438922620583,0.09714313626081511,0.18960244648318045,0.6079963177341455,5873
2,60,0.27091274684159006,0.13356774759379875,0.11940604198668715,0.6247222222222223,8177
3,64,0.3250725225306962,0.1641010377642516,0.09929078014184396,0.6665929855585029,10508
4,63,0.4717652776988501,0.1498749161241088,0.18618618618618618,0.6665929855585029,11734
5,48,0.5545773674660173,0.11957227929362833,0.1904761904761905,0.694128787878788,12183
6,41,0.5816212544563603,0.1090248433153015,0.1904761904761905,0.694128787878788,12832
7,44,0.5975234338376881,0.1048264567345479,0.1904761904761905,0.694128787878788,13222
8,54,0.5586425125938034,0.13162783857245028,0.09929078014184396,0.694128787878788,14072
9,48,0.5929144693326136,0.09836062385526309,0.33544973544973544,0.694128787878788,14439
10,64,0.5836486343785938,0.10710080416969275,0.19883040935672514,0.6968132356206973,15093
11,67,0.6124490853741793,0.07571105229531085,0.19883040935672514,0.6968132356206973,15365
12,53,0.6345675869166939,0.04880738060777396,0.5020833333333333,0.6968132356206973,15473
13,65,0.6417039271326276,0.04085128233027755,0.5318826717678942,0.6968132356206973,15563
14,58,0.6510632798224356,0.04273382021049881,0.4852068442711717,0.6968132356206973,15643
15,66,0.6553472126992702,0.04105812251040867,0.5480602058738522,0.6968132356206973,15709
16,53,0.6605337414634838,0.04735136151326722,0.4989749370930072,0.6968132356206973,15777
17,61,0.675429946142957,0.03692967264597146,0.5423110223110222,0.6968132356206973,15811
18,61,0.6932537986888745,0.015061343108044772,0.5766536288570187,0.6968132356206973,15828
19,70,0.6920197032740583,0.02354035065572626,0.5062998834185274,0.6968132356206973,15848
20,54,0.6904377891689143,0.02626163810322509,0.5534328609986505,0.6994249957720277,15867
21,47,0.6929408014847239,0.018249708937473085,0.5856481481481483,0.6994249957720277,15888
22,49,0.6892476584744727,0.029498091781813944,0.5572416212075061,0.6994249957720277,15908
23,53,0.6870041052300234,0.029391822796043115,0.5871978324808514,0.6994249957720277,15931
24,50,0.6766759985019242,0.045687924499480594,0.4719703977798335,0.6994249957720277,15956
25,63,0.6820383992501949,0.040875943230510824,0.5248995983935743,0.6994249957720277,15984
26,59,0.687201671506299,0.034681294998213257,0.5305555555555556,0.6994249957720277,16015
27,54,0.6899750101311858,0.03294399256747828,0.5314814814814816,0.6994249957720277,16038
28,58,0.6940392278313396,0.025108421479996586,0.5032496759750206,0.6994249957720277,16054
29,49,0.6932529432643824,0.02723754843944688,0.5172724059256403,0.6994249957720277,16073
30,65,0.6958380726549472,0.016852177061826817,0.5881165847231595,0.6994249957720277,16086
